时间(s),输入信号(%),动态响应温度(℃)
0,1.1007460331100065,379.8617472656597
1,0.9799400587658904,379.97359990325845
2,0.8905023876554263,380.0712207073862
3,0.8271001629209653,380.1446978548234
4,0.7521708102890317,380.1875369553857
5,0.6400694264852205,380.1995724387995
6,0.5035360008722918,380.19068173818346
7,0.3746780081750254,380.1765767708455
8,0.27877272372640227,380.1719976255254
9,0.2247541538634845,380.18771741751397
10,0.20349017320586246,380.2259435812025
11,0.19324736263343345,380.27812761024575
12,0.1762074643796165,380.33152565991963
13,0.15401611517939787,380.37529456868197
14,0.1447431976041407,380.3997923084577
15,0.1679337387870065,380.39511811138493
16,0.2357758365345254,380.35434505696406
17,0.35045296193921044,380.28114140659784
18,0.49999498679176424,380.1955503938126
19,0.6570793396650284,380.1271940138182
20,0.7946681833571154,380.09792876745024
21,0.9074923071266685,380.11283505329675
22,1.002644158537462,380.16445899478526
23,1.0690492463027104,380.23710640736977
24,1.0778338860596766,380.30830816583466
25,1.0096152174162045,380.353642464395
26,0.8685047535528361,380.355982240747
27,0.6832738899539359,380.3144027591027
28,0.5007191714649026,380.2456181110426
29,0.3665836936061727,380.17466639407826
30,0.3102853641715917,380.1209228507794
31,0.3407861965305146,380.0927237449686
32,0.4444657597509904,380.0913082830884
33,0.5874082723826051,380.1110576477151
34,0.7268944663693876,380.1389643569282
35,0.8202371399439209,380.1649168827027
36,0.8310049147034181,380.1901624181567
37,0.7454017672502343,380.21771361178327
38,0.5775439059970807,380.24198694077694
39,0.35140043706045976,380.25586164160467
40,0.08902096151683866,380.25884908685214
41,-0.18002542186511888,380.2526881606631
42,-0.39917769773922607,380.2362835239563
43,-0.4727386775439493,380.2082113809418
44,-0.2651832902236246,380.169664109335
45,0.39927721862029014,380.1238032152935
46,1.7320089745140232,380.0765532797811
47,3.946658624379326,380.0403871084355
48,7.16317124538338,380.03639085258175
49,11.227447098905314,380.09038921122436
50,15.583587757619263,380.2235665772719
51,19.468288934393957,380.4467304726872
52,22.340905729576125,380.7638139064428
53,24.098424970671203,381.1723932248684
54,24.963039598420846,381.6581309048293
55,25.279771624985983,382.1989890609354
56,25.35005769934794,382.7755951145822
57,25.35320728940813,383.37209943708007
58,25.36586707725221,383.97215443869084
59,25.390868990214948,384.5589090494122
60,25.383224214050866,385.11809499938227
61,25.31646406396697,385.6414840727059
62,25.22004575456288,386.12788695763913
63,25.133731037227868,386.5814781061967
64,25.066356358375597,387.0087951703822
65,25.020331486942776,387.4152528811254
66,25.01345736290343,387.8047220596794
67,25.060195331672354,388.18169094572715
68,25.15536765353817,388.5519432372055
69,25.273052935245317,388.9208411860328
70,25.388114379560985,389.2899966292699
71,25.501393497882574,389.65773394432847
72,25.609468958151613,390.0234491379366
73,25.6680496178189,390.3871025614368
74,25.61912655172063,390.7447320179111
75,25.43312169805166,391.08802837341574
76,25.131367038924637,391.4091412802308
77,24.79440335762779,391.7044502307256
78,24.52582429432144,391.9745652518806
79,24.385032416736717,392.22457176315874
80,24.363872755987735,392.46289425291604
81,24.42431626137446,392.6978555868413
82,24.54038153317571,392.93494708475276
83,24.708667523698416,393.1715832454586
84,24.93220272601733,393.3956067796722
85,25.19445760357878,393.5965628722672
86,25.445433660792155,393.776535165862
87,25.607244265764947,393.9480073607675
88,25.611675069374602,394.126344728321
89,25.45682206865559,394.3230961920146
90,25.215054163843664,394.53797034106657
91,24.98762311218964,394.75820130303225
92,24.858520022057927,394.9710108394085
93,24.87012197002148,395.16985346138625
94,25.025623750618408,395.34952101723536
95,25.289378500400954,395.51008414867925
96,25.585404688605323,395.66194916049477
97,25.830772203926607,395.8154970335059
98,25.966507302643283,395.9712243084034
99,25.963740000482442,396.12304952163123
100,25.839746938776265,396.2672807927341
101,25.65346098793454,396.40785050496066
102,25.451464325268407,396.55082703929713
103,25.239240749643702,396.6958479286627
104,25.021861246834302,396.83709880303377
105,24.828792424740488,396.9682490942631
106,24.67726392575645,397.08552917744066
107,24.557291369547514,397.1891170081031
108,24.465083604889593,397.2791973239782
109,24.404797708703406,397.35252812886847
110,24.36350562114101,397.40510640943404
111,24.332887434099295,397.43596486235884
112,24.339459418434735,397.44934380708327
113,24.42461968339299,397.4556507747004
114,24.607640546086184,397.4706061252834
115,24.86671135426369,397.51069643798803
116,25.151054318384404,397.5850863647136
117,25.40657004391157,397.6891512187693
118,25.58108875202712,397.80808455049515
119,25.633867709486527,397.928872811856
120,25.564150446284074,398.0454840013764
121,25.42111904387786,398.15414174040103
122,25.273478834791316,398.24951711526955
123,25.160124055455565,398.32655837186934
124,25.07712918922313,398.3859094956789
125,25.006803313936143,398.4351836536016
126,24.938733291595675,398.48295691657114
127,24.876004562746047,398.5336120311086
128,24.831561886051865,398.58543801272737
129,24.80791883019215,398.6331960180956
130,24.793729800040122,398.67557700128566
131,24.780601157539373,398.7150514852884
132,24.760581438768707,398.7501135326294
133,24.727109396839147,398.77522892100393
134,24.691901774673767,398.7880715093
135,24.67571355597876,398.79436197621044
136,24.685855510884625,398.80482578608087
137,24.701159130042413,398.82526973079
138,24.67373313503602,398.8530822122111
139,24.570440881006004,398.8833739694372
140,24.393938317748997,398.9123997259627
141,24.15574742645537,398.9389676333524
142,23.890710129350488,398.96739454680284
143,23.704740570858583,399.005117710967
144,23.767500891154963,399.0543980780494
145,24.255536544810905,399.1058788350752
146,25.294469384198283,399.14169808598615
147,26.92903435122819,399.14997035596286
148,29.110015307153635,399.1411909796972
149,31.654149670482497,399.1481864403612
150,34.21958059205705,399.2066017729217
151,36.41099431579059,399.3395105871491
152,37.97612303231989,399.5571842764122
153,38.90042873341936,399.85873722482336
154,39.34370117418602,400.2292923682213
155,39.52889155519955,400.6380613354598
156,39.63962994395181,401.0463137740988
157,39.75426473079629,401.42440889712844
158,39.864292845483924,401.7628128601932
159,39.93900673703653,402.0701039012002
160,39.96603492921528,402.36382841161105
161,39.956622135253596,402.66166196529684
162,39.937156972605436,402.97438518716405
163,39.93712649641893,403.29996696415725
164,39.96622468465968,403.6257425790143
165,40.005827737922786,403.9389128858321
166,40.04043809566072,404.23322986411176
167,40.08483594136436,404.5069238916583
168,40.15916128316116,404.7556081482524
169,40.24896808255449,404.96785947083816
170,40.31545434004959,405.1341867140868
171,40.342720826576304,405.2634345852494
172,40.349548409353034,405.38266608334663
173,40.35790234836766,405.51775413548694
174,40.37897427927199,405.68136290295536
175,40.416308482610205,405.8780546311743
176,40.459522891148275,406.10728607821363
177,40.486719193752194,406.3587458164251
178,40.47093302125016,406.6151197224671
179,40.38613739569657,406.8625897129229
180,40.22872634864241,407.09399823231934
181,40.03529474791569,407.30497055394005
182,39.86474758488659,407.49306834702514
183,39.75182381374253,407.65732831647756
184,39.69034096682319,407.79644541751395
185,39.66986325752796,407.9110081486843
186,39.69827231125838,408.009051751253
187,39.77944974144643,408.1072614078394
188,39.905185320408414,408.2211747577254
189,40.07565782290135,408.353071292582
190,40.295595684557284,408.4934099348055
191,40.550315962071686,408.63311670301454
192,40.80231922364665,408.7699222343197
193,41.00331106707984,408.90469272325663
194,41.10803327358335,409.0375988602771
195,41.08529058936552,409.1666559443863
196,40.93986562568791,409.2885143066921
197,40.74185423696624,409.4031942453479
198,40.600888774008276,409.51416032111496
199,40.592031365505285,409.621713249545
200,40.72243730521645,409.72181387483806
